Date,Wallet,Type,"Category name",Amount,Currency,Note,Labels,Author
2021-02-20T08:31:48+00:00,Household,Expense,"Food & Drink",-70000.00000000,IDR,"Sarapan - Mieasoy",cashLeo,Leo
2021-02-20T08:51:43+00:00,Household,Expense,"Food & Drink",-50000.00000000,IDR,Yoshinoya,cashLeo,"Sonia P"
2021-02-20T09:33:46+00:00,Household,Expense,"Food & Drink",-115000.00000000,IDR,"Ayam kuning + Tempe",cashLeo,Leo
2021-02-20T09:35:51+00:00,Household,Expense,"Food & Drink",-63000.00000000,IDR,"Lunch - Yoshinoya",cashLeo,Leo
2021-02-20T09:36:08+00:00,Household,Expense,"Food & Drink",-88000.00000000,IDR,"Dinner - Hokben",cashLeo,Leo
2021-02-20T09:36:29+00:00,Household,Expense,Drink,-34000.00000000,IDR,Chatime,cashLeo,Leo
2021-02-20T09:37:04+00:00,Household,Expense,Gifts,-200000.00000000,IDR,"Angpao tiffany",cashLeo,Leo
2021-02-21T00:38:56+00:00,Household,Expense,"Food & Drink",-45000.00000000,IDR,"Breakfast - Mcd",cashLeo,Leo
2021-02-21T00:55:15+00:00,Household,Expense,Snack,-125900.00000000,IDR,"Teh kotak & bear brand dus",cashLeo,"Sonia P"
2021-02-21T11:45:47+00:00,Household,Expense,Healthcare,-150000.00000000,IDR,"Masker and Testpack",ovo,Leo
2021-02-22T11:13:36+00:00,Household,Expense,Healthcare,-127700.00000000,IDR,"Vit c",,"Sonia P"
2021-02-24T01:24:10+00:00,Household,Expense,"Bills & Fees",-22000.00000000,IDR,Galon,cashLeo,Leo
2021-02-24T01:25:07+00:00,Household,Expense,Groceries,-38300.00000000,IDR,"Test pack cukur kumis",debitBCA,Leo
2021-02-24T01:25:23+00:00,Household,Expense,Groceries,-71400.00000000,IDR,"Minyak ",debitBCA,Leo
2021-02-25T15:19:34+00:00,Household,Expense,"Food & Drink",-38450.00000000,IDR,"Sarapan - Mie Asoi",ovo,Leo
2021-02-26T04:14:09+00:00,Household,Expense,Coffee,-42000.00000000,IDR,,ovo,Leo
2021-02-26T10:07:52+00:00,Household,Expense,"Food & Drink",-136000.00000000,IDR,Greenville,cashLeo,"Sonia P"
2021-02-26T10:09:39+00:00,Household,Expense,Work,-100000.00000000,IDR,"Vas bunga calla ketinggalan di harris",cashLeo,"Sonia P"
2021-02-27T07:13:20+00:00,Household,Expense,"Food & Drink",-52500.00000000,IDR,"Lunch - Saltinc",ovo,Leo
2021-02-27T07:15:07+00:00,Household,Expense,Maternity,-1900000.00000000,IDR,"Kunjungan Pertama, Multivitamin Sonia",debitBCA,Leo
2021-02-27T07:15:59+00:00,Household,Expense,"Food & Drink",-98000.00000000,IDR,"Sarapan - Mie Asoi",cashLeo,Leo
2021-02-27T11:54:19+00:00,Household,Expense,"Food & Drink",-70000.00000000,IDR,"Dinner - Ekajaya",ovo,Leo
2021-02-27T14:03:29+00:00,Household,Expense,"Bills & Fees",-1234740.00000000,IDR,"Maintenance Apt - Mar2021",cashLeo,Leo
2021-02-28T07:33:26+00:00,Household,Expense,"Bills & Fees",-300000.00000000,IDR,"Parkir belmont Maret 2021",ovo,Leo
2021-02-28T13:26:51+00:00,Household,Expense,Groceries,-242600.00000000,IDR,Sayurbox,citibankCC,Leo
2021-03-01T01:22:34+00:00,Household,Expense,"Food & Drink",-40700.00000000,IDR,"Mie gm sore",ovo,"Sonia P"
2021-03-01T09:18:11+00:00,Household,Expense,"Food & Drink",-60000.00000000,IDR,"Lunch - Mcdonald",citibankCC,Leo
2021-03-02T13:47:04+00:00,Household,Expense,"Food & Drink",-55000.00000000,IDR,"Supper - Mcd",citibankCC,Leo
2021-03-03T00:54:21+00:00,Household,Expense,Laundry,-32000.00000000,IDR,"Laundry 4 kilo",cashLeo,Leo
2021-03-03T13:56:47+00:00,Household,Expense,Maternity,-518230.00000000,IDR,"2nd checkup sonia",debitBCA,Leo
2021-03-03T13:57:09+00:00,Household,Expense,"Food & Drink",-38500.00000000,IDR,"Dinner - Pecel Lele",ovo,Leo
2021-03-04T01:05:12+00:00,Household,Expense,"Food & Drink",-34000.00000000,IDR,"Sarapan - Bubur",cashLeo,Leo
2021-03-05T01:38:16+00:00,Household,Expense,"Food & Drink",-80000.00000000,IDR,"Sarapan - Mie asoy",cashLeo,Leo
2021-03-05T06:06:26+00:00,Household,Expense,"Bills & Fees",-365500.00000000,IDR,Indiehome,citibankCC,Leo
2021-03-05T22:11:10+00:00,Household,Expense,Drink,-29000.00000000,IDR,Jus,ovo,Leo
2021-03-06T00:53:49+00:00,Household,Expense,"Food & Drink",-37000.00000000,IDR,"Breakfast - Nasi uduk",citibankCC,Leo
2021-03-06T10:08:00+00:00,Household,Expense,"Food & Drink",-50000.00000000,IDR,"Dinner - Sop iga",citibankCC,Leo
2021-03-07T02:48:39+00:00,Household,Expense,Transport,-278000.00000000,IDR,"Bensin shell",citibankCC,Leo
2021-03-07T06:20:31+00:00,Household,Expense,"Food & Drink",-86000.00000000,IDR,"Lunch - Mie GM",citibankCC,Leo
2021-03-07T06:21:00+00:00,Household,Expense,"Food & Drink",-60000.00000000,IDR,"Breakfast - Mcd",shopeePay,Leo
2021-03-07T09:46:22+00:00,Household,Expense,"Bills & Fees",-22000.00000000,IDR,Galon,cashLeo,Leo
2021-03-07T11:31:58+00:00,Household,Expense,"Food & Drink",-60000.00000000,IDR,Pempek,ovo,Leo
2021-03-07T11:32:10+00:00,Household,Expense,"Food & Drink",-37000.00000000,IDR,"Pecel Lele",citibankCC,Leo
2021-03-08T11:52:58+00:00,Household,Expense,"Food & Drink",-32000.00000000,IDR,Sarapan,,Leo
2021-03-09T15:40:15+00:00,Household,Expense,"Food & Drink",-43500.00000000,IDR,"Supper - Martabak",citibankCC,Leo
2021-03-10T11:08:08+00:00,Household,Expense,Laundry,-48000.00000000,IDR,"Laundry 6 Kilo",cashLeo,Leo
2021-03-10T11:34:20+00:00,Household,Expense,"Food & Drink",-101200.00000000,IDR,"Dinner - Iga Bakar Bandung",citibankCC,Leo
2021-03-11T11:04:27+00:00,Household,Expense,"Food & Drink",-80000.00000000,IDR,"Breakfast - Mie asoy",cashLeo,Leo
2021-03-11T11:04:45+00:00,Household,Expense,"Food & Drink",-70000.00000000,IDR,"Lunch - Mcdonald",shopeePay,Leo
2021-03-11T11:05:12+00:00,Household,Expense,"Food & Drink",-112500.00000000,IDR,"Lunch - Gepuk Ny Ong",cashLeo,Leo
2021-03-11T11:05:49+00:00,Household,Expense,Transport,-200000.00000000,IDR,Etoll,ovo,Leo
2021-03-11T11:07:15+00:00,Household,Expense,Transport,-91872.00000000,IDR,"Shell ke Bandung",debitBCA,Leo
2021-03-12T06:33:32+00:00,Household,Expense,"Food & Drink",-285000.00000000,IDR,"Lunch - Miss Bee Bandung",citibankCC,Leo
2021-03-12T11:40:43+00:00,Household,Expense,"Food & Drink",-135000.00000000,IDR,"Dinner - Bakso Panghegar",ovo,Leo
2021-03-13T05:38:15+00:00,Household,Expense,"Food & Drink",-175000.00000000,IDR,"Lunch - Tawan PVJ",citibankCC,Leo
2021-03-13T09:31:00+00:00,Household,Expense,Laundry,-72000.00000000,IDR,Laundry,cashLeo,Leo
2021-03-13T09:39:11+00:00,Household,Expense,Healthcare,-60000.00000000,IDR,"Minyak kayu putih",cashLeo,Leo
2021-03-13T12:04:55+00:00,Household,Expense,"Food & Drink",-295000.00000000,IDR,"Dinner - Layar",citibankCC,Leo
2021-03-14T03:33:37+00:00,Household,Expense,"Food & Drink",-65000.00000000,IDR,"Breakfast - Mie Asoy",ovo,Leo
2021-03-14T06:36:12+00:00,Household,Expense,"Food & Drink",-65000.00000000,IDR,"Lunch - Hokben",citibankCC,Leo
2021-03-15T00:12:57+00:00,Household,Expense,"Food & Drink",-48000.00000000,IDR,"Nasi uduk",citibankCC,Leo
2021-03-16T00:11:08+00:00,Household,Expense,"Food & Drink",-82000.00000000,IDR,Mcd,citibankCC,Leo
2021-03-16T04:54:37+00:00,Household,Expense,"Food & Drink",-151000.00000000,IDR,"Nasi kenanga",ovo,Leo
2021-03-16T05:49:45+00:00,Household,Expense,"Food & Drink",-47000.00000000,IDR,Spices,,Leo
2021-03-17T04:55:19+00:00,Household,Expense,"Food & Drink",-66000.00000000,IDR,"Mie asoi",ovo,Leo
2021-03-17T04:55:54+00:00,Household,Expense,"Food & Drink",-60000.00000000,IDR,"Waroenk Kito",ovo,Leo
2021-03-17T09:39:45+00:00,Household,Expense,"Food & Drink",-50000.00000000,IDR,"Dinner - Raja Suwir",shopeePay,Leo
2021-03-18T09:40:12+00:00,Household,Expense,"Food & Drink",-55000.00000000,IDR,"Breakfast - Bubur",ovo,Leo
2021-03-18T09:40:39+00:00,Household,Expense,"Food & Drink",-82000.00000000,IDR,"Lunch - Mie GM",ovo,Leo
2021-03-18T09:41:03+00:00,Household,Expense,Snack,-44000.00000000,IDR,"Snack - Siomay",citibankCC,Leo
2021-03-19T02:36:38+00:00,Household,Expense,"Food & Drink",-61100.00000000,IDR,"Mie asoy",cashLeo,"Sonia P"
2021-03-19T02:38:07+00:00,Household,Expense,Snack,-92000.00000000,IDR,"Pastel strawberry + gojek",cashLeo,"Sonia P"
2021-03-19T02:38:53+00:00,Household,Expense,Transport,-12000.00000000,IDR,"Grab anter baso dr mama",cashLeo,"Sonia P"
2021-03-19T12:32:02+00:00,Household,Expense,"Food & Drink",-60000.00000000,IDR,"Dinner - Lele",ovo,Leo
2021-03-20T03:27:37+00:00,Household,Expense,Maternity,-992000.00000000,IDR,"Visit Maret",citibankCC,Leo
2021-03-20T07:19:49+00:00,Household,Expense,"Food & Drink",-64000.00000000,IDR,"Dinner - Hokben",citibankCC,Leo
2021-03-20T07:20:14+00:00,Household,Expense,"Food & Drink",-85000.00000000,IDR,"Lunch - Mcdonald",citibankCC,Leo
2021-03-21T07:19:18+00:00,Household,Expense,"Food & Drink",-43000.00000000,IDR,"Breakfast - Sop ayam",citibankCC,Leo
2021-03-21T13:10:44+00:00,Household,Expense,"Food & Drink",-125500.00000000,IDR,"Dinner - Greenville",ovo,Leo
2021-03-25T11:41:30+00:00,Household,Expense,"Food & Drink",-50500.00000000,IDR,"Breakfast - NasiUduj",ovo,Leo
2021-03-25T11:41:54+00:00,Household,Expense,"Food & Drink",-68500.00000000,IDR,"Lunch -McD",citibankCC,Leo
2021-03-25T11:42:21+00:00,Household,Expense,"Food & Drink",-49800.00000000,IDR,"Dinner - Ayam Pepes",citibankCC,Leo
2021-03-25T15:37:18+00:00,Household,Expense,"Food & Drink",-44000.00000000,IDR,"Dinner - Sop Ayam",ovo,Leo
2021-03-26T15:38:19+00:00,Household,Expense,"Food & Drink",-50000.00000000,IDR,"Sarapan - Mie Everest",ovo,Leo
2021-03-26T15:39:45+00:00,Household,Expense,"Bills & Fees",-22000.00000000,IDR,Galon,,Leo
2021-03-26T15:40:07+00:00,Household,Expense,Laundry,-40000.00000000,IDR,,ovo,Leo
2021-03-27T15:36:20+00:00,Household,Expense,"Food & Drink",-30000.00000000,IDR,"Sarapan - Nasi Tim",ovo,Leo
2021-03-27T15:39:16+00:00,Household,Expense,"Food & Drink",-81000.00000000,IDR,"Dinner - FishAndChips",ovo,Leo
2021-03-28T02:14:48+00:00,Household,Expense,Shopping,-16000.00000000,IDR,Plastik,cashLeo,"Sonia P"
2021-03-28T09:59:07+00:00,Household,Expense,"Food & Drink",-69000.00000000,IDR,"Breakfast - Mcd",shopeePay,Leo
2021-03-28T09:59:24+00:00,Household,Expense,"Food & Drink",-144500.00000000,IDR,"Dinner - Ikkudo",shopeePay,Leo
2021-03-29T12:47:13+00:00,Household,Expense,"Food & Drink",-56000.00000000,IDR,"Breakfast - Bubur",ovo,Leo
2021-03-29T12:47:30+00:00,Household,Expense,"Food & Drink",-45000.00000000,IDR,"Lunch - Suwir",shopeePay,Leo
2021-03-29T12:47:55+00:00,Household,Expense,"Food & Drink",-60000.00000000,IDR,"Dinner - Gepuk",ovo,Leo
2021-03-31T00:14:36+00:00,Household,Expense,Snack,-51000.00000000,IDR,"Hollan Bakery",citibankCC,Leo
2021-03-31T00:25:46+00:00,Household,Expense,"Bills & Fees",-300000.00000000,IDR,"Parkir Belmont April",cashLeo,Leo
2021-03-31T13:07:54+00:00,Household,Expense,Transport,-300000.00000000,IDR,Shell,citibankCC,Leo
2021-04-01T13:06:20+00:00,Household,Expense,Laundry,-64000.00000000,IDR,"Laundy - 8 Kilo",cashLeo,Leo
2021-04-01T13:06:58+00:00,Household,Expense,"Food & Drink",-54000.00000000,IDR,"Breakfast - Mie everest",ovo,Leo
2021-04-01T13:07:12+00:00,Household,Expense,"Food & Drink",-41000.00000000,IDR,"Lunch - Suwir",shopeePay,Leo
2021-04-01T13:08:27+00:00,Household,Expense,"Food & Drink",-47000.00000000,IDR,"Dinner - Sop Ayam",citibankCC,Leo
2021-04-01T13:54:14+00:00,Household,Expense,"Bills & Fees",-1368631.00000000,IDR,"Maintenance Belmont - April 2021",cashLeo,Leo
2021-04-02T08:05:36+00:00,Household,Expense,"Food & Drink",-79500.00000000,IDR,"Breakfast - McD",ovo,Leo
2021-04-03T08:07:04+00:00,Household,Expense,"Food & Drink",-77000.00000000,IDR,"Lunch - Hokben",citibankCC,Leo
2021-04-03T08:08:12+00:00,Household,Expense,"Food & Drink",-65000.00000000,IDR,"Breakfast - Mie Asoi",ovo,Leo
2021-04-04T07:59:18+00:00,Household,Expense,"Food & Drink",-180000.00000000,IDR,"Lunch - Toms Sushi",shopeePay,Leo
2021-04-04T08:00:08+00:00,Household,Expense,"Food & Drink",-57000.00000000,IDR,"Breakfast - Bubur",citibankCC,Leo
2021-04-04T13:37:12+00:00,Household,Expense,"Food & Drink",-96000.00000000,IDR,"Dinner - Special Sambal",ovo,Leo
2021-04-04T14:44:00+00:00,Household,Expense,"Bills & Fees",-370000.00000000,IDR,"Indiehome - Maret",citibankCC,Leo
2021-04-05T13:42:04+00:00,Household,Expense,"Food & Drink",-47000.00000000,IDR,"Breakfast - Nasiuduk",ovo,Leo
2021-04-05T13:43:15+00:00,Household,Expense,"Food & Drink",-96000.00000000,IDR,"Dinner - Bakso Afung",ovo,Leo
2021-04-05T13:44:18+00:00,Household,Expense,"Food & Drink",-62000.00000000,IDR,"Dinner - Blenger",ovo,Leo
2021-04-06T10:21:34+00:00,Household,Expense,"Food & Drink",-85500.00000000,IDR,Greenville,,"Sonia P"
2021-04-06T13:42:49+00:00,Household,Expense,"Food & Drink",-85000.00000000,IDR,"Breakfast - Mcdonald",ovo,Leo
2021-04-06T13:42:56+00:00,Household,Expense,"Food & Drink",-55000.00000000,IDR,"Lunch - Spices",ovo,Leo
2021-04-07T13:43:55+00:00,Household,Expense,"Food & Drink",-63000.00000000,IDR,"Breakfast - Bakmie Meteor",ovo,Leo
2021-04-08T01:19:20+00:00,Household,Expense,"Food & Drink",-49000.00000000,IDR,"Dinner - Nasi Kulit",citibankCC,Leo
2021-04-08T01:19:26+00:00,Household,Expense,"Food & Drink",-47000.00000000,IDR,"Breakfast - Nasi Uduk",citibankCC,Leo
2021-04-08T04:54:30+00:00,Household,Expense,"Food & Drink",-67500.00000000,IDR,Gembus,,"Sonia P"
2021-04-09T01:20:03+00:00,Household,Expense,"Food & Drink",-49000.00000000,IDR,"Lunch -- PSP",citibankCC,Leo
2021-04-09T01:20:28+00:00,Household,Expense,"Food & Drink",-100000.00000000,IDR,"Dinner - Mamat",citibankCC,Leo
2021-04-10T01:21:19+00:00,Household,Expense,"Food & Drink",-70000.00000000,IDR,"Breakfast - McD",citibankCC,Leo
2021-04-10T08:53:22+00:00,Household,Expense,"Food & Drink",-85000.00000000,IDR,"Dinner - Hokben",citibankCC,Leo
2021-04-11T12:25:29+00:00,Household,Expense,"Food & Drink",-50000.00000000,IDR,"Breakfast - Burger",citibankCC,Leo
2021-04-11T12:26:15+00:00,Household,Expense,"Food & Drink",-69000.00000000,IDR,"Lunch - Gembus",citibankCC,Leo
2021-04-11T13:51:41+00:00,Household,Expense,Groceries,-168000.00000000,IDR,"Ranch Market",citibankCC,Leo
2021-04-13T15:44:06+00:00,Household,Expense,"Food & Drink",-38000.00000000,IDR,"Breakfast - Mie Asoy",citibankCC,Leo
2021-04-13T15:44:26+00:00,Household,Expense,"Food & Drink",-74000.00000000,IDR,"Lunch - Gepuk",citibankCC,Leo
2021-04-13T15:44:47+00:00,Household,Expense,"Food & Drink",-43000.00000000,IDR,"Dinner - Nasi Kulit",citibankCC,Leo
2021-04-15T12:31:38+00:00,Household,Expense,"Food & Drink",-70000.00000000,IDR,"Breakfast - Mcd",citibankCC,Leo
2021-04-15T12:32:07+00:00,Household,Expense,"Food & Drink",-85000.00000000,IDR,"Lunch - Bakmie GM",citibankCC,Leo
2021-04-15T12:32:40+00:00,Household,Expense,"Food & Drink",-62000.00000000,IDR,"Dinner - Porky Pork",citibankCC,Leo
2021-04-16T09:43:12+00:00,Household,Expense,"Food & Drink",-44000.00000000,IDR,"Breakfast - Mie everest",citibankCC,Leo
2021-04-16T09:43:18+00:00,Household,Expense,"Food & Drink",-51500.00000000,IDR,"Lunch - Gembus",citibankCC,Leo
2021-04-16T09:43:24+00:00,Household,Expense,"Food & Drink",-38000.00000000,IDR,"Dinner - Lele",citibankCC,Leo
2021-04-17T09:43:57+00:00,Household,Expense,Maternity,-875000.00000000,IDR,"Checkup April",citibankCC,Leo
2021-04-17T11:45:46+00:00,Household,Expense,"Food & Drink",-90000.00000000,IDR,"Lunch - McD",citibankCC,Leo
2021-04-17T11:46:53+00:00,Household,Expense,"Food & Drink",-75000.00000000,IDR,"Dinner - Afuk",citibankCC,Leo
2021-04-18T08:05:09+00:00,Household,Expense,"Food & Drink",-100000.00000000,IDR,"Lunch - Pizza",citibankCC,Leo
2021-04-18T08:11:10+00:00,Household,Expense,Snack,-67200.00000000,IDR,"Teh kotak",shopeePay,"Sonia P"
2021-04-18T21:23:23+00:00,Household,Expense,"Food & Drink",-56000.00000000,IDR,"Lunch - Gembus",citibankCC,Leo
2021-04-18T21:24:01+00:00,Household,Expense,"Food & Drink",-75000.00000000,IDR,"Dinner - Afuk",citibankCC,Leo
2021-04-19T21:24:58+00:00,Household,Expense,"Food & Drink",-23000.00000000,IDR,"Breakfast - nasi uduk",citibankCC,Leo
2021-04-19T21:25:22+00:00,Household,Expense,"Food & Drink",-122500.00000000,IDR,"Lunch - Wingstop",citibankCC,Leo
2021-04-20T01:02:11+00:00,Household,Expense,"Food & Drink",-61750.00000000,IDR,"Greenville sapo tahu",gopay,"Sonia P"
2021-04-21T01:03:33+00:00,Household,Expense,"Food & Drink",-25600.00000000,IDR,"Sarapan ayam bakar",cashLeo,"Sonia P"
2021-04-21T13:11:25+00:00,Household,Expense,"Food & Drink",-81500.00000000,IDR,"Lunch - McD",citibankCC,Leo
2021-04-21T13:12:11+00:00,Household,Expense,"Food & Drink",-48000.00000000,IDR,"Dinner - Ayam Blenger",citibankCC,Leo
2021-04-22T13:12:54+00:00,Household,Expense,"Food & Drink",-62000.00000000,IDR,"Lunch - gepuk",citibankCC,Leo
2021-04-22T13:13:19+00:00,Household,Expense,"Food & Drink",-48000.00000000,IDR,"Dinner - Sop",citibankCC,Leo
2021-04-22T13:13:44+00:00,Household,Expense,"Food & Drink",-75000.00000000,IDR,"Dinner - Nasi Campur",citibankCC,Leo
2021-04-25T05:45:07+00:00,Household,Expense,"Food & Drink",-41000.00000000,IDR,"BF - Mie jamur",citibankCC,Leo
2021-04-25T05:45:40+00:00,Household,Expense,Drink,-59000.00000000,IDR,Banban,citibankCC,Leo
2021-04-25T05:46:32+00:00,Household,Expense,"Food & Drink",-55000.00000000,IDR,"Lunch - Gembus",citibankCC,Leo
2021-04-25T11:55:37+00:00,Household,Expense,"Food & Drink",-50000.00000000,IDR,"Dinner - Martabak",citibankCC,Leo
2021-04-25T11:55:58+00:00,Household,Expense,Healthcare,-50000.00000000,IDR,"Obat Mual",citibankCC,Leo
2021-04-26T13:03:19+00:00,Household,Expense,"Food & Drink",-70800.00000000,IDR,"Lunch - Hainam",citibankCC,Leo
2021-04-26T13:03:49+00:00,Household,Expense,"Food & Drink",-22000.00000000,IDR,"BF - Nasi Uduk",citibankCC,Leo
2021-04-26T13:04:21+00:00,Household,Expense,"Food & Drink",-53000.00000000,IDR,"Din - Lele",citibankCC,Leo
2021-04-26T13:04:45+00:00,Household,Expense,Snack,-57000.00000000,IDR,"Kue lapis",citibankCC,Leo
2021-04-27T13:05:46+00:00,Household,Expense,"Food & Drink",-39000.00000000,IDR,"Lunch - Sop",citibankCC,Leo
2021-04-27T13:06:44+00:00,Household,Expense,"Food & Drink",-29000.00000000,IDR,"BF - Mie Aloiy",ovo,Leo
2021-04-29T13:07:30+00:00,Household,Expense,"Food & Drink",-22200.00000000,IDR,"BF - Uduk",citibankCC,Leo
2021-04-29T13:07:49+00:00,Household,Expense,"Food & Drink",-87000.00000000,IDR,"Lu - Hokben",citibankCC,Leo
2021-04-29T13:08:05+00:00,Household,Expense,"Food & Drink",-43000.00000000,IDR,"Din - Sop Ayam",citibankCC,Leo
2021-04-30T14:08:50+00:00,Household,Expense,"Food & Drink",-54000.00000000,IDR,"BF - Mie Everesf",ovo,Leo
2021-04-30T14:09:19+00:00,Household,Expense,"Food & Drink",-71000.00000000,IDR,"Din - Sapo Tahu",citibankCC,Leo
2021-04-30T14:10:39+00:00,Household,Expense,"Food & Drink",-53000.00000000,IDR,"Lunch - McD",shopeePay,Leo
2021-05-01T00:17:06+00:00,Household,Expense,"Bills & Fees",-1440769.00000000,IDR,"Bulanan Belmont May",citibankCC,Leo
2021-05-01T00:18:56+00:00,Household,Expense,"Bills & Fees",-300000.00000000,IDR,"Parkir May",citibankCC,Leo
2021-05-01T04:09:08+00:00,Household,Expense,Home,-2500000.00000000,IDR,Ikea,citibankCC,Leo
2021-05-02T04:48:19+00:00,Household,Expense,"Food & Drink",-42000.00000000,IDR,"BF - Uduk",citibankCC,Leo
2021-05-02T09:38:29+00:00,Household,Expense,Transport,-262000.00000000,IDR,,citibankCC,Leo
2021-05-02T09:39:09+00:00,Household,Expense,"Food & Drink",-72000.00000000,IDR,Hokben,citibankCC,Leo
2021-05-04T05:57:44+00:00,Household,Expense,"Food & Drink",-34300.00000000,IDR,"Mcd leo sore",cashLeo,"Sonia P"
2021-05-04T16:24:13+00:00,Household,Expense,"Food & Drink",-54000.00000000,IDR,"BF - Mie Asoi",citibankCC,Leo
2021-05-06T06:16:13+00:00,Household,Expense,"Food & Drink",-70500.00000000,IDR,Gembus,cashLeo,"Sonia P"
2021-05-06T10:42:54+00:00,Household,Expense,"Food & Drink",-45000.00000000,IDR,"Nasi Uduk",citibankCC,Leo
2021-05-06T10:43:22+00:00,Household,Expense,"Food & Drink",-150000.00000000,IDR,Afung,citibankCC,Leo
2021-05-07T10:43:39+00:00,Household,Expense,"Food & Drink",-102800.00000000,IDR,"Nasi campur",citibankCC,Leo
2021-05-08T05:53:30+00:00,Household,Expense,"Sport & Hobbies",-810000.00000000,IDR,Pottery,cashLeo,"Sonia P"
2021-05-08T11:02:00+00:00,Household,Expense,Groceries,-118200.00000000,IDR,Indomaret,citibankCC,Leo
2021-05-08T14:54:55+00:00,Household,Expense,"Food & Drink",-187500.00000000,IDR,"Ikkudo Ichi",citibankCC,Leo
2021-05-09T05:40:59+00:00,Household,Expense,"Food & Drink",-116000.00000000,IDR,"Hokben ",citibankCC,Leo
2021-05-09T06:24:22+00:00,Household,Expense,Home,-377000.00000000,IDR,Internet,citibankCC,Leo
2021-05-09T06:24:41+00:00,Household,Expense,"Food & Drink",-44000.00000000,IDR,"Nasi uduk",citibankCC,Leo
2021-05-10T11:40:19+00:00,Household,Expense,Healthcare,-850000.00000000,IDR,"Cacar Ular",,Leo
2021-05-11T11:02:26+00:00,Household,Expense,Groceries,-100000.00000000,IDR,"Sabun cuci tangan dan mama lemon",citibankCC,Leo
2021-05-11T11:03:35+00:00,Household,Expense,Home,-180000.00000000,IDR,Hydroclean,citibankCC,Leo
2021-05-12T00:50:29+00:00,Household,Expense,Home,-27050.00000000,IDR,"Plastik sampah",cashLeo,"Sonia P"
2021-05-12T00:50:53+00:00,Household,Expense,Home,-37000.00000000,IDR,Senter,cashLeo,"Sonia P"
2021-05-15T06:02:59+00:00,Household,Expense,Healthcare,-400000.00000000,IDR,"Visit dua dr toto",citibankCC,Leo
2021-05-18T12:41:48+00:00,Household,Expense,"Food & Drink",-68000.00000000,IDR,"Kuetiaw sapi",citibankCC,Leo
2021-05-18T12:42:03+00:00,Household,Expense,Home,-18000.00000000,IDR,Galon,citibankCC,Leo
2021-05-20T15:49:53+00:00,Household,Expense,Groceries,-197000.00000000,IDR,"Shampo 100k, masker 2 box 97k",citibankCC,Leo
2021-05-22T01:32:21+00:00,Household,Expense,Snack,-94000.00000000,IDR,,citibankCC,Leo
2021-05-22T01:33:21+00:00,Household,Expense,"Food & Drink",-105000.00000000,IDR,"Bakmie GM",citibankCC,Leo
2021-05-22T02:44:25+00:00,Household,Expense,Maternity,-987000.00000000,IDR,"Visit dokter mei",citibankCC,Leo
2021-05-22T04:06:24+00:00,Household,Expense,"Food & Drink",-87000.00000000,IDR,"Bakso afung",citibankCC,Leo
2021-05-23T01:39:28+00:00,Household,Expense,"Food & Drink",-78000.00000000,IDR,"Mie asoy",citibankCC,Leo
2021-05-23T09:26:46+00:00,Household,Expense,"Food & Drink",-117000.00000000,IDR,"Ayam presto ny nina",citibankCC,Leo
